PARENT1,MSTATUS,SEX,EDUCATION,JOB,CAR_USE,CAR_TYPE,RED_CAR,REVOKED,URBANICITY,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,TRAVTIME,TIF,CLM_FREQ,MVR_PTS,CAR_AGE,INCOME,HOME_VAL,BLUEBOOK,OLDCLAIM
No,z_No,z_F,PhD,Lawyer,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,50.0,0,13.0,42,1,0,0,14.0,163296.0,447616.0,22830.0,0.0
Yes,z_No,z_F,<High School,z_Blue Collar,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,30.0,1,10.0,50,13,0,0,6.0,17455.0,140978.0,12380.0,0.0
No,Yes,z_F,z_High School,z_Blue Collar,Commercial,z_SUV,no,No,Highly Urban/ Urban,1,0,53.0,0,6.0,32,1,0,4,1.0,38036.0,153381.0,13140.0,0.0
No,z_No,z_F,Bachelors,Manager,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,53.0,0,13.0,21,1,0,0,8.0,41199.0,150933.0,15360.0,0.0
Yes,z_No,M,z_High School,Professional,Private,Minivan,no,No,Highly Urban/ Urban,0,0,29.0,1,10.0,15,6,0,0,1.0,38042.0,202967.0,15160.0,0.0
No,Yes,z_F,Masters,Lawyer,Private,Minivan,no,No,Highly Urban/ Urban,0,0,55.0,0,7.0,5,6,0,0,13.0,45787.0,173196.0,19380.0,0.0
No,z_No,M,Masters,Lawyer,Private,Van,yes,No,Highly Urban/ Urban,0,0,34.0,0,11.0,36,1,2,3,15.0,51565.0,0.0,18110.0,759.0
No,Yes,z_F,z_High School,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,34.0,3,0.0,25,9,2,2,1.0,0.0,66358.0,11740.0,1800.0
No,Yes,M,Masters,Professional,Private,Minivan,yes,Yes,Highly Urban/ Urban,0,0,36.0,0,11.0,24,7,3,4,17.0,105384.0,267509.0,13800.0,31695.0
No,Yes,M,Masters,Lawyer,Private,Minivan,yes,No,Highly Urban/ Urban,1,0,41.0,0,10.0,59,4,0,1,9.0,66265.0,159276.0,12230.0,0.0
No,Yes,M,Bachelors,z_Blue Collar,Commercial,Panel Truck,yes,No,Highly Urban/ Urban,0,0,42.0,0,9.0,18,13,0,0,14.0,76226.0,217920.0,23390.0,0.0
No,Yes,M,<High School,Clerical,Private,Pickup,yes,No,z_Highly Rural/ Rural,0,1,38.0,3,16.0,26,1,0,0,8.0,7528.0,113809.0,8080.0,0.0
Yes,z_No,M,z_High School,Student,Commercial,Minivan,yes,No,Highly Urban/ Urban,1,0,33.0,4,0.0,14,1,1,2,5.0,0.0,0.0,15090.0,1631.0
No,Yes,z_F,Masters,Lawyer,Private,Minivan,no,No,Highly Urban/ Urban,0,1,42.0,1,9.0,63,1,0,2,14.0,32797.0,160661.0,21690.0,0.0
No,Yes,z_F,Bachelors,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,47.0,0,11.0,50,1,2,0,10.0,44705.0,217885.0,12840.0,1533.0
No,z_No,z_F,Bachelors,z_Blue Collar,Commercial,Minivan,no,No,z_Highly Rural/ Rural,0,0,52.0,0,9.0,36,1,0,3,10.0,68992.0,216986.0,15120.0,0.0
No,z_No,M,Masters,Professional,Commercial,Panel Truck,no,No,Highly Urban/ Urban,0,0,43.0,0,11.0,8,16,1,0,1.0,132561.0,314433.0,30150.0,12294.0
No,Yes,M,Masters,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,66.0,1,17.0,23,7,0,0,16.0,96830.0,325826.0,11180.0,0.0
No,Yes,M,<High School,z_Blue Collar,Commercial,Pickup,yes,No,Highly Urban/ Urban,1,0,52.0,0,7.0,33,4,3,1,5.0,64014.0,244863.0,7900.0,8882.0
No,Yes,z_F,Masters,Manager,Private,Sports Car,no,No,Highly Urban/ Urban,0,1,61.0,2,17.0,35,1,0,0,21.0,41857.0,169015.0,20870.0,0.0
Yes,z_No,z_F,Masters,Manager,Commercial,Pickup,no,No,Highly Urban/ Urban,1,0,41.0,1,8.0,34,3,0,2,18.0,126468.0,0.0,32690.0,0.0
No,Yes,z_F,z_High School,z_Blue Collar,Commercial,Sports Car,no,Yes,z_Highly Rural/ Rural,0,3,40.0,3,9.0,53,5,0,0,6.0,75516.0,247673.0,13050.0,0.0
No,z_No,M,Bachelors,Professional,Private,Minivan,yes,Yes,Highly Urban/ Urban,0,0,52.0,0,16.0,44,6,0,0,11.0,76954.0,249290.0,19540.0,0.0
No,Yes,z_F,Masters,Manager,Private,Pickup,no,No,Highly Urban/ Urban,0,0,58.0,1,8.0,21,6,0,0,17.0,150352.0,421665.0,24240.0,0.0
No,Yes,z_F,<High School,Clerical,Private,z_SUV,no,No,Highly Urban/ Urban,1,1,38.0,1,12.0,36,7,2,0,1.0,37580.0,173495.0,5260.0,867.0
No,Yes,M,z_High School,z_Blue Collar,Private,Pickup,no,No,Highly Urban/ Urban,1,0,41.0,2,15.0,10,1,0,1,1.0,23344.0,147172.0,7930.0,0.0
No,Yes,z_F,Bachelors,z_Blue Collar,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,37.0,0,16.0,29,1,0,0,10.0,43290.0,158771.0,23640.0,0.0
No,Yes,M,Bachelors,Manager,Private,Pickup,yes,No,Highly Urban/ Urban,0,0,48.0,0,10.0,24,9,0,1,1.0,48737.0,220264.0,11220.0,0.0
No,Yes,M,z_High School,Clerical,Private,Minivan,no,No,Highly Urban/ Urban,0,0,47.0,0,12.0,26,18,4,3,9.0,64259.0,202031.0,25100.0,9526.0
No,z_No,M,<High School,Clerical,Private,Minivan,yes,No,z_Highly Rural/ Rural,0,0,41.0,0,6.0,5,1,0,0,1.0,12541.0,0.0,7500.0,0.0
No,z_No,z_F,Bachelors,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,46.0,0,10.0,40,13,0,0,7.0,104990.0,306540.0,16080.0,0.0
No,z_No,z_F,Bachelors,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,49.0,0,6.0,37,7,0,4,9.0,89948.0,0.0,18160.0,0.0
No,z_No,z_F,PhD,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,62.0,0,6.0,54,3,0,0,15.0,107734.0,0.0,18470.0,0.0
Yes,z_No,z_F,z_High School,Clerical,Private,z_SUV,no,No,z_Highly Rural/ Rural,0,0,36.0,2,12.0,38,1,0,0,1.0,25282.0,0.0,11160.0,0.0
No,Yes,M,Masters,Lawyer,Private,Minivan,no,No,Highly Urban/ Urban,0,0,47.0,0,11.0,24,7,0,0,14.0,18549.0,116136.0,12800.0,0.0
No,z_No,M,z_High School,z_Blue Collar,Commercial,Pickup,no,Yes,Highly Urban/ Urban,0,0,51.0,0,9.0,32,1,3,0,1.0,50166.0,187297.0,11620.0,50701.0
No,Yes,z_F,Masters,Lawyer,Private,Sports Car,no,No,z_Highly Rural/ Rural,0,0,46.0,0,8.0,43,4,0,0,16.0,73872.0,245878.0,20240.0,0.0
No,Yes,z_F,z_High School,Manager,Private,Minivan,no,No,Highly Urban/ Urban,0,0,50.0,0,14.0,60,1,2,4,8.0,73343.0,254600.0,20010.0,4179.0
Yes,z_No,z_F,Masters,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,43.0,2,15.0,35,1,3,4,20.0,49849.0,0.0,13130.0,3622.0
No,Yes,z_F,<High School,Student,Commercial,Pickup,no,Yes,Highly Urban/ Urban,1,1,39.0,1,16.0,28,4,2,4,1.0,12054.0,0.0,15760.0,1738.0
No,Yes,z_F,z_High School,z_Blue Collar,Commercial,Sports Car,no,No,Highly Urban/ Urban,0,0,43.0,3,14.0,50,12,2,5,1.0,48184.0,209188.0,14530.0,6891.0
No,Yes,z_F,Masters,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,60.0,3,18.0,40,6,0,0,15.0,78936.0,235670.0,20350.0,0.0
No,z_No,M,<High School,Student,Private,Pickup,no,No,z_Highly Rural/ Rural,0,0,55.0,0,0.0,33,4,0,0,1.0,0.0,0.0,7000.0,0.0
No,z_No,z_F,Bachelors,Manager,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,40.0,0,10.0,36,10,2,6,10.0,78914.0,229055.0,5500.0,6803.0
No,Yes,z_F,Bachelors,Clerical,Private,Sports Car,no,No,Highly Urban/ Urban,0,0,39.0,0,6.0,49,7,0,1,13.0,77125.0,210840.0,9570.0,0.0
No,Yes,M,z_High School,Clerical,Private,Pickup,yes,No,Highly Urban/ Urban,0,0,38.0,0,14.0,29,6,0,1,12.0,25835.0,109685.0,8490.0,0.0
No,Yes,M,Masters,Professional,Private,Pickup,yes,No,Highly Urban/ Urban,0,0,42.0,0,12.0,31,7,2,6,18.0,47660.0,180206.0,11940.0,974.0
No,z_No,z_F,Masters,Manager,Private,Minivan,no,No,Highly Urban/ Urban,0,0,42.0,0,10.0,16,4,0,3,14.0,123143.0,306368.0,24930.0,0.0
No,Yes,z_F,<High School,Clerical,Commercial,Pickup,no,No,Highly Urban/ Urban,0,0,49.0,0,8.0,24,11,0,1,1.0,22059.0,123924.0,21990.0,0.0
Yes,z_No,z_F,Masters,Manager,Private,z_SUV,no,No,Highly Urban/ Urban,0,1,36.0,1,12.0,26,7,3,7,14.0,50750.0,0.0,10170.0,5877.0
Yes,z_No,M,z_High School,Clerical,Commercial,Pickup,yes,No,Highly Urban/ Urban,0,0,34.0,1,10.0,35,7,0,0,7.0,23571.0,0.0,12180.0,0.0
No,Yes,z_F,PhD,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,49.0,0,0.0,29,7,0,1,1.0,0.0,79913.0,18110.0,0.0
No,Yes,M,z_High School,Clerical,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,52.0,0,12.0,39,10,0,0,1.0,35631.0,155972.0,6040.0,0.0
No,Yes,M,Bachelors,z_Blue Collar,Commercial,Panel Truck,no,No,z_Highly Rural/ Rural,0,0,55.0,0,14.0,45,4,0,0,14.0,55409.0,162237.0,27890.0,0.0
Yes,z_No,z_F,Bachelors,Clerical,Private,Minivan,no,No,Highly Urban/ Urban,0,0,40.0,4,15.0,21,8,0,0,8.0,48067.0,186025.0,18120.0,0.0
No,Yes,z_F,Masters,Lawyer,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,45.0,2,12.0,21,1,0,0,10.0,64867.0,210631.0,12490.0,0.0
No,Yes,M,Bachelors,Professional,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,80.0,2,23.0,14,13,0,2,10.0,97716.0,389344.0,15920.0,0.0
No,Yes,M,z_High School,z_Blue Collar,Commercial,Pickup,yes,No,Highly Urban/ Urban,0,0,48.0,0,10.0,48,10,2,6,1.0,39613.0,159534.0,8460.0,7437.0
No,z_No,z_F,<High School,Clerical,Private,Sports Car,no,No,z_Highly Rural/ Rural,0,0,40.0,0,11.0,52,6,0,0,1.0,49780.0,0.0,10500.0,0.0
No,z_No,z_F,Bachelors,Manager,Private,Minivan,no,No,Highly Urban/ Urban,0,0,45.0,0,11.0,31,4,0,0,18.0,60845.0,0.0,24260.0,0.0
No,z_No,z_F,PhD,Doctor,Private,Sports Car,no,No,Highly Urban/ Urban,1,0,42.0,0,12.0,45,1,0,0,17.0,136344.0,0.0,13160.0,0.0
No,Yes,z_F,Bachelors,Professional,Private,Minivan,no,No,Highly Urban/ Urban,0,0,36.0,0,7.0,55,6,3,5,4.0,70313.0,211506.0,14960.0,7650.0
Yes,z_No,z_F,z_High School,Home Maker,Commercial,Van,no,No,z_Highly Rural/ Rural,0,0,45.0,3,15.0,9,7,0,0,1.0,23773.0,0.0,34510.0,0.0
No,z_No,z_F,Bachelors,Professional,Private,Sports Car,no,No,z_Highly Rural/ Rural,0,0,52.0,0,11.0,28,6,0,0,11.0,115713.0,327167.0,21660.0,0.0
No,z_No,M,z_High School,Clerical,Commercial,Panel Truck,yes,No,z_Highly Rural/ Rural,0,0,41.0,0,8.0,17,1,0,3,1.0,55364.0,0.0,31390.0,0.0
No,Yes,z_F,<High School,Clerical,Private,Sports Car,no,No,Highly Urban/ Urban,0,0,36.0,0,14.0,37,10,1,4,7.0,27693.0,130324.0,11300.0,19385.0
No,Yes,z_F,Bachelors,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,56.0,0,0.0,29,13,2,0,9.0,0.0,103058.0,27890.0,25147.0
No,Yes,z_F,<High School,Student,Private,Sports Car,no,No,z_Highly Rural/ Rural,0,1,53.0,1,0.0,34,10,3,2,7.0,0.0,0.0,1500.0,1175.0
No,z_No,z_F,z_High School,Clerical,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,39.0,0,12.0,12,6,0,0,7.0,32936.0,169721.0,1500.0,0.0
No,Yes,z_F,Bachelors,Professional,Private,z_SUV,no,No,z_Highly Rural/ Rural,0,0,38.0,0,11.0,31,13,0,0,9.0,33151.0,184852.0,11530.0,0.0
Yes,z_No,M,z_High School,Home Maker,Private,Minivan,no,Yes,Highly Urban/ Urban,1,1,45.0,3,0.0,36,4,3,0,1.0,0.0,0.0,16510.0,17445.0
No,Yes,z_F,z_High School,Home Maker,Private,Sports Car,no,No,z_Highly Rural/ Rural,0,0,46.0,0,14.0,73,10,0,0,9.0,24575.0,176282.0,8560.0,0.0
No,Yes,M,<High School,Clerical,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,43.0,2,16.0,49,10,0,1,5.0,32546.0,200891.0,5800.0,0.0
Yes,z_No,z_F,Bachelors,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,0,1,54.0,1,0.0,21,6,1,6,9.0,0.0,0.0,18820.0,5537.0
No,Yes,z_F,<High School,z_Blue Collar,Private,Sports Car,no,No,z_Highly Rural/ Rural,0,0,61.0,0,10.0,37,1,3,3,1.0,58212.0,226638.0,13420.0,3573.0
No,Yes,z_F,Bachelors,Manager,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,53.0,0,15.0,36,4,0,3,5.0,84345.0,264549.0,9930.0,0.0
No,Yes,z_F,Bachelors,Manager,Commercial,Pickup,no,No,Highly Urban/ Urban,0,0,54.0,0,15.0,45,7,3,0,6.0,107808.0,278940.0,27020.0,1780.0
No,Yes,M,z_High School,z_Blue Collar,Commercial,Pickup,no,No,z_Highly Rural/ Rural,0,0,39.0,2,12.0,42,7,0,0,1.0,59685.0,197089.0,7470.0,0.0
No,Yes,z_F,Masters,Lawyer,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,38.0,0,12.0,38,4,1,0,15.0,90647.0,251629.0,13740.0,8450.0
No,z_No,M,<High School,z_Blue Collar,Commercial,Pickup,yes,No,Highly Urban/ Urban,1,0,42.0,0,10.0,48,13,0,0,1.0,43174.0,208811.0,10020.0,0.0
Yes,z_No,z_F,z_High School,Clerical,Private,Sports Car,no,Yes,Highly Urban/ Urban,1,0,31.0,2,14.0,41,13,2,0,7.0,30653.0,0.0,12930.0,35666.0
Yes,z_No,z_F,Masters,Home Maker,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,41.0,2,0.0,18,6,0,0,17.0,0.0,54130.0,32090.0,0.0
No,Yes,z_F,z_High School,Professional,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,49.0,0,13.0,18,1,1,0,1.0,59148.0,162428.0,12310.0,8948.0
No,z_No,M,z_High School,Professional,Private,Minivan,yes,No,Highly Urban/ Urban,0,0,47.0,0,10.0,25,1,0,0,1.0,81899.0,232928.0,14390.0,0.0
No,Yes,z_F,z_High School,Manager,Private,Pickup,no,No,Highly Urban/ Urban,0,0,53.0,0,15.0,25,10,0,0,8.0,114088.0,306745.0,22920.0,0.0
No,Yes,z_F,z_High School,Professional,Private,Van,no,No,Highly Urban/ Urban,0,0,51.0,0,13.0,27,1,0,0,1.0,80621.0,256152.0,25700.0,0.0
No,Yes,z_F,Masters,Lawyer,Private,Sports Car,no,No,Highly Urban/ Urban,0,0,51.0,1,12.0,44,3,0,0,1.0,94328.0,327651.0,6900.0,0.0
No,Yes,z_F,<High School,Home Maker,Private,z_SUV,no,No,Highly Urban/ Urban,1,0,53.0,0,13.0,31,1,0,0,7.0,25289.0,108139.0,13850.0,0.0
No,Yes,z_F,<High School,Clerical,Private,z_SUV,no,No,z_Highly Rural/ Rural,1,0,31.0,3,14.0,58,3,0,0,5.0,26112.0,117229.0,14030.0,0.0
No,z_No,z_F,Masters,Lawyer,Private,Van,no,No,Highly Urban/ Urban,0,0,50.0,0,14.0,40,17,0,0,18.0,90566.0,295771.0,23260.0,0.0
Yes,z_No,M,z_High School,z_Blue Collar,Commercial,Minivan,yes,No,Highly Urban/ Urban,0,0,45.0,2,12.0,39,7,0,0,1.0,62447.0,203472.0,12240.0,0.0
No,Yes,z_F,Masters,Manager,Private,z_SUV,no,No,Highly Urban/ Urban,0,0,46.0,0,5.0,39,3,0,0,17.0,108701.0,337340.0,12070.0,0.0
No,z_No,M,z_High School,Manager,Commercial,Van,no,No,Highly Urban/ Urban,0,0,47.0,0,12.0,43,1,1,1,13.0,94774.0,254197.0,21070.0,3460.0
No,Yes,M,Bachelors,z_Blue Collar,Commercial,Minivan,yes,No,Highly Urban/ Urban,0,1,43.0,2,16.0,40,1,0,0,7.0,72357.0,288115.0,23190.0,0.0
No,z_No,M,z_High School,Professional,Commercial,Pickup,yes,No,z_Highly Rural/ Rural,0,0,39.0,0,11.0,22,13,0,0,8.0,19016.0,173712.0,10950.0,0.0
No,z_No,z_F,z_High School,Home Maker,Private,Minivan,no,No,z_Highly Rural/ Rural,0,0,49.0,0,0.0,55,7,0,1,1.0,0.0,0.0,19810.0,0.0
